Run #,BSH enzyme,Inhibitor,Replicate,Sample ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA,CA d4,CDCA d4,DCA d4
Run 3,T2,NI,1,T2-NI-1,0.046271,0.007562,0.007507,0.01244,0.000649,0.12698,0.006887,0.008979,0.002522,0.001783,0.034257,0.024642,0.029039
Run 3,T2,NI,2,T2-NI-2,0.053149,0.017153,0.008781,0.009652,0.001986,0.606477,0.047684,0.023253,0.020422,0.027852,0.03808,0.028046,0.031464
Run 3,T2,NI,3,T2-NI-3,0.05625,0.007881,0.010132,0.01057,0.000829,0.079925,0.0055,0.006005,0.005627,0.000859,0.039099,0.024874,0.032135
Run 3,T2,I,1,T2-I-1,0.030809,0.007667,0.009016,0.014318,0.002127,0.119594,0.01063,0.009957,0.004212,0.000308,0.031725,0.021472,0.027831
Run 3,T2,I,2,T2-I-2,0.057326,0.011839,0.013996,0.011678,0.002497,0.168821,0.0056,0.005355,0.005743,0.002443,0.031494,0.022914,0.028244
Run 3,T2,I,3,T2-I-3,0.02738,0.006431,0.005302,0.010359,0.002772,6.575926,0.011854,0.007382,0.003935,0.003826,0.031899,0.020595,0.024842
Run 3,T2,II,1,T2-II-1,0.040345,0.006904,0.010203,0.008093,0.001132,0.088238,0.012841,0.025852,0.001231,0.000256,0.042556,0.031244,0.03715
Run 3,T2,II,2,T2-II-2,0.072473,0.008699,0.007858,0.009904,0.000927,0.142788,0.026688,0.007111,0.003113,0.000278,0.038172,0.029775,0.035827
Run 3,T2,II,3,T2-II-3,0.064137,0.007803,0.00458,0.004842,0.001466,0.284756,0.011026,0.006755,0.002906,0.000866,0.04181,0.029354,0.036559
Run 3,T2,III,1,T2-III-1,0.036797,0.004929,0.00553,0.005267,0.00118,0.12594,0.010212,0.007809,0.004824,0.000817,0.042335,0.034248,0.041543
Run 3,T2,III,2,T2-III-2,0.029737,0.006705,0.479933,0.009934,0.000998,0.045923,0.006501,0.005709,0.004208,0.000911,0.039647,0.033434,0.039256
Run 3,T2,III,3,T2-III-3,0.030318,0.004493,0.005239,0.006389,0.00078,0.10619,0.006638,0.003744,0.004602,0.001072,0.039424,0.029693,0.036699
Run 3,T2,VIII,1,T2-VIII-1,0.007608,0.001999,0.002112,0.001306,0.00041,0.062091,0.003904,0.000801,0.000758,0.000582,0.126508,0.159223,0.158485
Run 3,T2,VIII,2,T2-VIII-2,0.006039,0.002551,0.001853,0.001574,0.000519,0.078366,0.002698,0.00163,0.001025,0.000035,0.105908,0.132417,0.143309
Run 3,T2,VIII,3,T2-VIII-3,0.006658,0.002132,0.002772,0.001775,0.000438,0.432492,0.001886,0.00259,0.001482,0.000381,0.098494,0.128948,0.130155
Run 4,Ct,NI,1,Ct-NI-1,51.030877,21.313567,15.806818,12.111547,3.725227,44.49098,12.77426,10.681659,7.904667,1.229743,0.027268,0.032514,0.041186
Run 4,Ct,NI,2,Ct-NI-2,51.957187,22.597721,16.588009,13.193141,3.138812,43.833495,12.405612,10.199954,8.462724,0.659144,0.0327,0.034852,0.040568
Run 4,Ct,NI,3,Ct-NI-3,54.221727,22.477527,16.888118,13.049927,4.180109,53.211979,13.862033,11.416397,8.290092,1.439407,0.029402,0.032121,0.042657
Run 4,A,NI,1,A-NI-1,0.073019,0.048143,0.123489,0.039034,0.013304,5.599181,0.049733,0.072327,3.129724,0.009224,0.021043,0.021576,0.032212
Run 4,A,NI,2,A-NI-2,0.064791,0.023721,0.124103,0.043233,0.013676,3.219745,0.049661,0.078608,2.613141,0.009968,0.024371,0.021409,0.030461
Run 4,A,NI,3,A-NI-3,0.048835,0.02369,0.121471,0.038875,0.01269,0.227559,0.04985,0.069331,2.468079,0.010112,0.020976,0.027493,0.034663
Run 4,A,XI,1,A-XI-1,0.054639,0.041178,0.157182,0.051521,0.015385,0.018376,0.037864,0.073552,2.549348,0.010816,0.019695,0.020019,0.027063
Run 4,A,XI,2,A-XI-2,0.065846,0.047279,0.170698,0.052754,0.01146,0.175972,0.049102,0.06202,3.035313,0.005806,0.019901,0.020441,0.028888
Run 4,A,XI,3,A-XI-3,0.170389,0.062153,0.190531,0.100562,0.011368,0.008478,0.045914,0.055791,2.951718,0.006889,0.023474,0.020972,0.028222
Run 4,A,XII,1,A-XII-1,0.084419,0.045374,0.166285,0.040844,0.00899,0.127138,0.063104,0.075654,2.895857,0.006258,0.026033,0.025076,0.034618
Run 4,A,XII,2,A-XII-2,0.064302,0.047959,0.155951,0.047438,0.018338,0.019744,0.041999,0.077566,2.959062,0.005688,0.023725,0.027119,0.033468
Run 4,A,XII,3,A-XII-3,0.056599,0.043527,0.158213,0.038856,0.01476,0.010224,0.035185,0.068296,2.729705,0.011769,0.026137,0.025992,0.03247
