"BSH_Enzyme","Inhibitor","Bile_Acid","Run","Replicate","log2_concentration","fitted_value","fitted_se","enzyme_baseline","enzyme_inhibitor_interaction","enzyme_bileacid_interaction","inhibitor_potency","ci_lwr","ci_upr","inhibitor_baseline"
"F","XI","TCA","Run 4","2",2.52673726108623,0.0802371107990861,0.77154650230559,1.89679174312983,2.45745778975858,1.71436786298392,-0.560666046628753,-1.45274653334648,1.57171575569143,-9.56843193099836
"F","XI","TCA","Run 4","3",1.32842301431826,0.100390731579562,0.775528952720778,1.89679174312983,2.45745778975858,1.71436786298392,-0.560666046628753,-1.42191133191773,1.61816216274772,-9.56843193099836
"F","XI","TCDCA","Run 4","1",2.57537348213069,0.91793446462496,0.774416614346704,1.89679174312983,2.45745778975858,2.3573996067896,-0.560666046628753,-0.590063844055107,2.44564928418397,-9.56843193099836
"F","XI","TCDCA","Run 4","2",2.8536620646134,0.913643433074769,0.768906825699305,1.89679174312983,2.45745778975858,2.3573996067896,-0.560666046628753,-0.563461851605968,2.45065290513531,-9.56843193099836
"F","XI","TCDCA","Run 4","3",1.47571115188452,0.933797053855245,0.759494762326684,1.89679174312983,2.45745778975858,2.3573996067896,-0.560666046628753,-0.51121930449301,2.46600016382759,-9.56843193099836
"F","XI","TDCA","Run 4","1",1.74634363154858,0.531916447223292,0.750696281291575,1.89679174312983,2.45745778975858,1.7360713223656,-0.560666046628753,-0.965375650084731,1.97735377257824,-9.56843193099836
"F","XI","TDCA","Run 4","2",1.6594174094001,0.527625415673101,0.743453095747963,1.89679174312983,2.45745778975858,1.7360713223656,-0.560666046628753,-0.958497287285126,1.95583884804689,-9.56843193099836
"F","XI","TDCA","Run 4","3",0.510868562330168,0.547779036453576,0.76345555949661,1.89679174312983,2.45745778975858,1.7360713223656,-0.560666046628753,-0.953294177439264,2.03945161578745,-9.56843193099836
"F","XI","TLCA","Run 4","1",0.537254672505636,3.4921184580925,0.773853810581551,1.89679174312983,2.45745778975858,6.83952179598278,-0.560666046628753,1.93536301520607,4.96886995268575,-9.56843193099836
"F","XI","TLCA","Run 4","2",0.573843408757582,3.4878274265423,0.784387947871701,1.89679174312983,2.45745778975858,6.83952179598278,-0.560666046628753,1.89724666162094,4.97204741727801,-9.56843193099836
"F","XI","TLCA","Run 4","3",0.114981584868987,3.50798104732278,0.787960487782224,1.89679174312983,2.45745778975858,6.83952179598278,-0.560666046628753,1.91470649486297,5.00351160696929,-9.56843193099836
"F","XI","TUDCA","Run 4","1",1.92451222419026,0.784114412450326,0.759408107307649,1.89679174312983,2.45745778975858,0.0511122125357555,-0.560666046628753,-0.726477686287565,2.25040209435842,-9.56843193099836
"F","XI","TUDCA","Run 4","2",2.27495002928079,0.779823380900135,0.769916305931916,1.89679174312983,2.45745778975858,0.0511122125357555,-0.560666046628753,-0.727904340808296,2.29016757844481,-9.56843193099836
"F","XI","TUDCA","Run 4","3",0.948024488084028,0.799977001680611,0.765010040921599,1.89679174312983,2.45745778975858,0.0511122125357555,-0.560666046628753,-0.695381659551773,2.3034577008609,-9.56843193099836
"F","XII","GCA","Run 4","1",-0.0442396304103069,-1.01517807421729,0.755617175354946,1.89679174312983,0.35609867137688,1.69134208578994,1.54069307175295,-2.50886432828764,0.453154999103748,-9.60678766062735
"F","XII","GCA","Run 4","2",-0.0850388950190026,-1.01946910576748,0.740886723133921,1.89679174312983,0.35609867137688,1.69134208578994,1.54069307175295,-2.45793182266871,0.446344132016264,-9.60678766062735
"F","XII","GCA","Run 4","3",-0.576279546671652,-0.999315484987001,0.752877634740975,1.89679174312983,0.35609867137688,1.69134208578994,1.54069307175295,-2.49874312240058,0.452537205784044,-9.60678766062735
"F","XII","GCDCA","Run 4","1",-1.41290310910063,-0.698225791242428,0.766072781569153,1.89679174312983,0.35609867137688,3.66430755779228,1.54069307175295,-2.14321589442365,0.859789409327434,-9.60678766062735
"F","XII","GCDCA","Run 4","2",-0.568761507324246,-0.702516822792619,0.763468178601477,1.89679174312983,0.35609867137688,3.66430755779228,1.54069307175295,-2.14241182178308,0.85038343833471,-9.60678766062735
"F","XII","GCDCA","Run 4","3",-0.0491973941631774,-0.682363202012143,0.774687095799628,1.89679174312983,0.35609867137688,3.66430755779228,1.54069307175295,-2.13427494524413,0.902498470290413,-9.60678766062735
"F","XII","GDCA","Run 4","1",0.400975942024044,-0.00925760863213426,0.736673054826827,1.89679174312983,0.35609867137688,3.45286513831952,1.54069307175295,-1.42066805285876,1.4670903220624,-9.60678766062735
"F","XII","GDCA","Run 4","2",-0.36291586393683,-0.0135486401823253,0.760516003061226,1.89679174312983,0.35609867137688,3.45286513831952,1.54069307175295,-1.43385494315684,1.54736778884317,-9.60678766062735
"F","XII","GDCA","Run 4","3",-0.435946751644296,0.00660498059815009,0.763338582314544,1.89679174312983,0.35609867137688,3.45286513831952,1.54069307175295,-1.46675618070709,1.52553106196592,-9.60678766062735
"F","XII","GLCA","Run 4","1",-0.585226706388205,-0.567068878881398,0.766843529042912,1.89679174312983,0.35609867137688,5.90088705255778,1.54069307175295,-2.10079526234525,0.905231371502966,-9.60678766062735
"F","XII","GLCA","Run 4","2",0.079326595723586,-0.571359910431589,0.759936102242058,1.89679174312983,0.35609867137688,5.90088705255778,1.54069307175295,-2.13215850438475,0.846791016404116,-9.60678766062735
"F","XII","GLCA","Run 4","3",-0.910373264869802,-0.551206289651114,0.771539137601618,1.89679174312983,0.35609867137688,5.90088705255778,1.54069307175295,-2.1082900680203,0.916143351378044,-9.60678766062735
